viet_tat,day_du,loai,ghi_chu
k,không,teencode,phổ biến trong chat/mạng xã hội
ko,không,teencode,phổ biến trong chat/mạng xã hội
hok,không,teencode,phổ biến trong chat/mạng xã hội
hông,không,vung_mien,phát âm miền Nam
hôk,không,teencode,"biến thể của ""không"""
kg,không,teencode,hay bị nhầm với đơn vị kilogam
đc,được,teencode,phổ biến trong chat/mạng xã hội
dc,được,teencode,phổ biến trong chat/mạng xã hội
đk,được không,teencode,"cần xét ngữ cảnh (trùng viết tắt ""đăng ký"")"
vs,với,teencode,phổ biến trong chat/mạng xã hội
z,vậy,teencode,phổ biến trong chat/mạng xã hội
j,gì,teencode,phổ biến trong chat/mạng xã hội
r,rồi,teencode,phổ biến trong chat/mạng xã hội
rùi,rồi,teencode,"biến thể của ""rồi"""
b,bạn,teencode,"cần xét ngữ cảnh (trùng ""bị""",ba)
m,mày,teencode,"cần xét ngữ cảnh (trùng ""mình"")"
t,tao,teencode,"cần xét ngữ cảnh (trùng ""tôi"")"
tui,tôi,vung_mien,phổ biến miền Nam
mik,mình,teencode,"biến thể của ""mình"""
mk,mình,teencode,"biến thể của ""mình"""
ny,người yêu,teencode,phổ biến trong chat/mạng xã hội
bn,bạn,teencode,"cần xét ngữ cảnh (trùng ""bao nhiêu"")"
bik,biết,teencode,"biến thể của ""biết"""
bít,biết,teencode,"biến thể của ""biết"""
bt,bình thường,teencode,"cần xét ngữ cảnh (trùng ""biết"")"
ht,hôm trước,teencode,"cần xét ngữ cảnh (trùng ""hiện tại"")"
hnay,hôm nay,teencode,phổ biến trong chat/mạng xã hội
h,giờ,teencode,"cần xét ngữ cảnh (trùng ""hôm"")"
bh,bây giờ,teencode,phổ biến trong chat/mạng xã hội
ce,chị em,teencode,phổ biến trong chat/mạng xã hội
ck,chồng,teencode,phổ biến trong chat/mạng xã hội
vk,vợ,teencode,phổ biến trong chat/mạng xã hội
add,kết bạn,teencode,"mượn từ tiếng Anh ""add friend"""
inb,nhắn tin riêng,teencode,"mượn từ tiếng Anh ""inbox"""
ib,nhắn tin riêng,teencode,"viết tắt của ""inbox"""
sr,xin lỗi,teencode,"mượn từ tiếng Anh ""sorry"""
thx,cảm ơn,teencode,"mượn từ tiếng Anh ""thanks"""
tks,cảm ơn,teencode,"mượn từ tiếng Anh ""thanks"""
ok,đồng ý,teencode,mượn từ tiếng Anh
oke,đồng ý,teencode,"biến thể của ""ok"""
lm,làm,teencode,phổ biến trong chat/mạng xã hội
nt,nhắn tin,teencode,"cần xét ngữ cảnh (trùng ""như thế"")"
ns,nói,teencode,phổ biến trong chat/mạng xã hội
nx,nữa,teencode,phổ biến trong chat/mạng xã hội
n,nó,teencode,cần xét ngữ cảnh (rất mơ hồ)
đt,điện thoại,teencode,"cần xét ngữ cảnh (trùng ""điểm thi"")"
mn,mọi người,teencode,phổ biến trong chat/mạng xã hội
ae,anh em,teencode,phổ biến trong chat/mạng xã hội
ad,quản trị viên,teencode,"mượn từ tiếng Anh ""admin"""
sp,sản phẩm,teencode,"cần xét ngữ cảnh (trùng ""sư phụ"")"
nc,nói chuyện,teencode,"cần xét ngữ cảnh (trùng ""nước"")"
qtqđ,quá trời quá đất,teencode,phổ biến trong chat/mạng xã hội
qá,quá,teencode,"biến thể chính tả của ""quá"""
iu,yêu,teencode,"biến thể phát âm của ""yêu"""
nhìu,nhiều,teencode,"biến thể chính tả của ""nhiều"""
lun,luôn,teencode,"biến thể chính tả của ""luôn"""
zị,vậy,vung_mien,phát âm miền Nam
hem,không,vung_mien,phát âm miền Tây Nam Bộ
hổng,không,vung_mien,phát âm miền Nam
dìa,về,vung_mien,phát âm miền Nam/Tây
mắc,đắt,vung_mien,từ địa phương miền Nam
mèn,trời ơi,vung_mien,thán từ miền Nam
tê,kia,vung_mien,phương ngữ miền Trung
mô,đâu,vung_mien,phương ngữ miền Trung
rứa,vậy,vung_mien,phương ngữ miền Trung
ni,này,vung_mien,phương ngữ miền Trung
răng,sao,vung_mien,phương ngữ miền Trung
chi,gì,vung_mien,phương ngữ miền Trung
TP,thành phố,hanh_chinh,viết tắt hành chính chính thức
TP.,thành phố,hanh_chinh,viết tắt hành chính chính thức
T.P,thành phố,hanh_chinh,viết tắt hành chính chính thức
Q.,quận,hanh_chinh,viết tắt hành chính chính thức
P.,phường,hanh_chinh,viết tắt hành chính chính thức
H.,huyện,hanh_chinh,viết tắt hành chính chính thức
X.,xã,hanh_chinh,viết tắt hành chính chính thức
TT.,thị trấn,hanh_chinh,viết tắt hành chính chính thức
TX.,thị xã,hanh_chinh,viết tắt hành chính chính thức
Tp,thành phố,hanh_chinh,biến thể viết hoa
UBND,Ủy ban nhân dân,hanh_chinh,viết tắt hành chính chính thức
HĐND,Hội đồng nhân dân,hanh_chinh,viết tắt hành chính chính thức
CMND,Chứng minh nhân dân,hanh_chinh,viết tắt hành chính chính thức
CCCD,Căn cước công dân,hanh_chinh,viết tắt hành chính chính thức
GPLX,Giấy phép lái xe,hanh_chinh,viết tắt hành chính chính thức
BHYT,Bảo hiểm y tế,hanh_chinh,viết tắt hành chính chính thức
BHXH,Bảo hiểm xã hội,hanh_chinh,viết tắt hành chính chính thức
CTCP,Công ty cổ phần,hanh_chinh,viết tắt hành chính chính thức
TNHH,Trách nhiệm hữu hạn,hanh_chinh,viết tắt hành chính chính thức
DN,doanh nghiệp,hanh_chinh,viết tắt hành chính chính thức
NN,nhà nước,hanh_chinh,"cần xét ngữ cảnh (trùng ""nông nghiệp"")"
KHKT,khoa học kỹ thuật,hanh_chinh,viết tắt hành chính chính thức
GD,giáo dục,hanh_chinh,"cần xét ngữ cảnh (trùng ""giám đốc"")"
ĐT,đào tạo,hanh_chinh,"cần xét ngữ cảnh (trùng ""điện thoại"")"
GD&ĐT,giáo dục và đào tạo,hanh_chinh,viết tắt hành chính chính thức
BGD,Bộ Giáo dục,hanh_chinh,viết tắt hành chính chính thức
THPT,trung học phổ thông,hanh_chinh,viết tắt hành chính chính thức
THCS,trung học cơ sở,hanh_chinh,viết tắt hành chính chính thức
ĐH,đại học,hanh_chinh,viết tắt hành chính chính thức
CĐ,cao đẳng,hanh_chinh,viết tắt hành chính chính thức
TS,tiến sĩ,hanh_chinh,"cần xét ngữ cảnh (trùng ""thạc sĩ"" viết sai)"
ThS,thạc sĩ,hanh_chinh,viết tắt hành chính chính thức
BS,bác sĩ,hanh_chinh,viết tắt hành chính chính thức
KS,kỹ sư,hanh_chinh,viết tắt hành chính chính thức
GV,giáo viên,hanh_chinh,viết tắt hành chính chính thức
HS,học sinh,hanh_chinh,"cần xét ngữ cảnh (trùng ""hồ sơ"")"
SV,sinh viên,hanh_chinh,viết tắt hành chính chính thức
NV,nhân viên,hanh_chinh,"cần xét ngữ cảnh (trùng ""nội vụ"")"
GĐ,giám đốc,hanh_chinh,"cần xét ngữ cảnh (trùng ""gia đình"")"
PGĐ,phó giám đốc,hanh_chinh,viết tắt hành chính chính thức
TGĐ,tổng giám đốc,hanh_chinh,viết tắt hành chính chính thức
CT,chủ tịch,hanh_chinh,"cần xét ngữ cảnh (trùng ""công ty"")"
PCT,phó chủ tịch,hanh_chinh,viết tắt hành chính chính thức
TW,trung ương,hanh_chinh,viết tắt hành chính chính thức
TƯ,trung ương,hanh_chinh,biến thể viết tắt
VN,Việt Nam,hanh_chinh,viết tắt hành chính chính thức
HN,Hà Nội,hanh_chinh,viết tắt hành chính chính thức
HCM,Hồ Chí Minh,hanh_chinh,viết tắt hành chính chính thức
TPHCM,Thành phố Hồ Chí Minh,hanh_chinh,viết tắt hành chính chính thức
TP.HCM,Thành phố Hồ Chí Minh,hanh_chinh,viết tắt hành chính chính thức
ĐBSCL,Đồng bằng sông Cửu Long,hanh_chinh,viết tắt hành chính chính thức
NĐ-CP,Nghị định Chính phủ,hanh_chinh,viết tắt hành chính chính thức
QĐ,quyết định,hanh_chinh,viết tắt hành chính chính thức
